sku,price,special_price,weight,ups,shipping_cost
"RCP2535","18.6400","13.0500","0.0800","Y","",
"RCP2536","14.1400","5.4500","9.2000","Y","1.8382",
"RCP2540BEI","43.4600","16.7724","1.6000","Y","5.6498",
"RCP2541GRA","69.7800","26.9244","2.9000","Y","9.0714",
"RCP2541BEI","88.5000","61.9500","4.6000","Y","",
"RCP2543GRA","104.7500","40.4136","5.0000","Y","13.6175",
"RCP256BBRO","443.6700","168.0206","15.0000","N","48.8037",
"RCP256B73BLU","464.0800","175.7480","16.6250","N","51.0488",
"RCP256KGRA","289.5700","109.6676","10.3250","N","31.8527",
"RCP256L","1253.5700","877.5000","18.5420","Y","",
"RCP256VRED","436.2600","165.2116","13.6800","Y","47.9886",
"RCP256VBRO","436.2600","165.2116","12.0000","Y","47.9886",
"RCP256W","1253.5700","877.5000","18.5420","Y","",
"RCP257088BEI","336.4300","235.5000","15.5000","Y","",
"RCP257088BLA","259.8700","100.2672","11.9000","Y","28.5857",
"RCP257088BRO","259.8700","100.2672","14.9000","Y","28.5857",
"RCP2585BLA","205.7100","144.0000","8.0000","Y","",
"RCP2586BLA","368.5700","258.0000","10.0000","Y","",
"RCP2588CHR","54.5600","21.0492","2.0000","Y","7.0928",
"RCP2609WHI","16.0300","6.1776","0.8600","Y","2.0839",
"RCP2609GRA","16.0300","6.1776","0.8460","Y","2.0839",
"RCP2610GRA","41.3800","15.9732","28.4400","Y","5.3794",
"RCP2610WHI","41.3800","15.9732","2.7400","Y","5.3794",
"RCP2614RED","36.4300","14.0508","2.0000","Y","4.7359",
"RCP2614GRA","46.5000","32.5500","2.0000","Y","",
"RCP2617GRA","56.7900","21.9240","3.0000","Y","7.3827",
"RCP261960GRA","18.1600","6.9984","1.1600","Y","2.3608",
"RCP261960WHI","18.1600","6.9984","1.4000","Y","2.3608",
"RCP261960YEL","18.1600","6.9984","1.1650","Y","2.3608",
"RCP261960BLA","23.1400","16.2000","9.4000","Y","",
"RCP2620YEL","64.2600","24.7968","5.9000","Y","8.3538",
"RCP2620BLU","64.2600","24.7968","5.8630","Y","8.3538",
"RCP2620GRA","70.2900","49.2000","6.3700","Y","",
"RCP2620WHI","64.2600","24.7968","5.9000","Y","8.3538",
"RCP262073BLU","64.2600","24.7968","6.0000","Y","8.3538",
"RCP262888GRA","75.4300","52.8000","0.7100","Y","",
"RCP2631BLU","33.8600","23.7000","2.0500","Y","",
